team,salary,player,position,season
Golden State Warriors,40231758,Stephen Curry, PG,2019-2020
Oklahoma City Thunder,38506482,Chris Paul, PG,2019-2020
Houston Rockets,38506482,Russell Westbrook, PG,2019-2020
Washington Wizards,38199000,John Wall, PG,2019-2020
Brooklyn Nets,38199000,Kevin Durant, SF,2019-2020
Houston Rockets,38199000,James Harden, SG,2019-2020
Los Angeles Lakers,37436858,LeBron James, SF,2019-2020
Toronto Raptors,34996296,Kyle Lowry, PG,2019-2020
Detroit Pistons,34449964,Blake Griffin, PF,2019-2020
Philadelphia 76ers,32742000,Tobias Harris, SF,2019-2020
Miami Heat,32742000,Jimmy Butler, SF,2019-2020
LA Clippers,32742000,Kawhi Leonard, SF,2019-2020
Golden State Warriors,32742000,Klay Thompson, SG,2019-2020
Boston Celtics,32742000,Kemba Walker, PG,2019-2020
Boston Celtics,32700690,Gordon Hayward, SF,2019-2020
Utah Jazz,32511624,Mike Conley, PG,2019-2020
Brooklyn Nets,31742000,Kyrie Irving, PG,2019-2020
Milwaukee Bucks,30603448,Khris Middleton, SF,2019-2020
LA Clippers,30560700,Paul George, SG,2019-2020
Denver Nuggets,30350000,Paul Millsap, PF,2019-2020
Portland Trail Blazers,29802321,Damian Lillard, PG,2019-2020
Cleveland Cavaliers,28942830,Kevin Love, PF,2019-2020
Philadelphia 76ers,28000000,Al Horford, PF,2019-2020
Orlando Magic,28000000,Nikola Vucevic, C,2019-2020
San Antonio Spurs,27739975,DeMar DeRozan, SF,2019-2020
Portland Trail Blazers,27556959,CJ McCollum, SG,2019-2020
Philadelphia 76ers,27504630,Joel Embiid, C,2019-2020
Golden State Warriors,27504630,Andrew Wiggins, SF,2019-2020
Denver Nuggets,27504630,Nikola Jokic, C,2019-2020
Phoenix Suns,27285000,Devin Booker, SG,2019-2020
Minnesota Timberwolves,27285000,D'Angelo Russell, SG,2019-2020
Minnesota Timberwolves,27285000,Karl-Anthony Towns, C,2019-2020
Dallas Mavericks,27285000,Kristaps Porzingis, PF,2019-2020
Chicago Bulls,27250575,Otto Porter Jr., SF,2019-2020
Washington Wizards,27093019,Bradley Beal, SG,2019-2020
Detroit Pistons,27093019,Andre Drummond, C,2019-2020
Los Angeles Lakers,27093018,Anthony Davis, PF,2019-2020
Portland Trail Blazers,27093017,Hassan Whiteside, C,2019-2020
New Orleans Pelicans,26231111,Jrue Holiday, SG,2019-2020
San Antonio Spurs,26000000,LaMarcus Aldridge, PF,2019-2020
Oklahoma City Thunder,25842697,Steven Adams, C,2019-2020
Milwaukee Bucks,25842697,Giannis Antetokounmpo, PF,2019-2020
Toronto Raptors,25595700,Marc Gasol, C,2019-2020
Charlotte Hornets,25565217,Nicolas Batum, SG,2019-2020
Atlanta Hawks,25102511,Chandler Parsons, SF,2019-2020
Sacramento Kings,24147727,Harrison Barnes, SF,2019-2020
Toronto Raptors,23271604,Serge Ibaka, C,2019-2020
Utah Jazz,23241573,Rudy Gobert, C,2019-2020
Oklahoma City Thunder,22615559,Danilo Gallinari, PF,2019-2020
Indiana Pacers,21000000,Victor Oladipo, SG,2019-2020
Dallas Mavericks,20025127,Tim Hardaway Jr., SG,2019-2020
Indiana Pacers,20000000,Malcolm Brogdon, PG,2019-2020
Charlotte Hornets,19894737,Terry Rozier, PG,2019-2020
